RUTA,KM,LTS,CASETAS,PEMEX,PENSION,COMIDAS,HOTEL
CULIACAN-MTY-CULIACAN,"2,200","1,467","17,807.00",200,200,600,600
GUASAVE-MTY-GUASAVE,"2,200","1,467","17,807.23",200,200,600,600
